Day,Time (PST),Temp,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Conditions
1/2/2017,12:24 AM,   52.0 °F ,   45.0 °F ,77%,   30.03 in ,   10.0 mi ,SSE,   3.5 mph ,Overcast
1/2/2017,12:53 AM,   52.0 °F ,   45.0 °F ,77%,   30.03 in ,   10.0 mi ,SE,   3.5 mph ,Overcast
1/2/2017,1:53 AM,   52.0 °F ,   45.0 °F ,77%,   30.03 in ,   10.0 mi ,SE,   3.5 mph ,Overcast
1/2/2017,2:53 AM,   51.1 °F ,   45.0 °F ,80%,   30.03 in ,   10.0 mi ,SE,   3.5 mph ,Overcast
1/2/2017,3:53 AM,   51.1 °F ,   46.0 °F ,83%,   30.04 in ,   10.0 mi ,ESE,   4.6 mph ,Overcast
1/2/2017,4:53 AM,   50.0 °F ,   46.0 °F ,86%,   30.04 in ,   10.0 mi ,SE,   4.6 mph ,Mostly Cloudy
1/2/2017,5:53 AM,   50.0 °F ,   46.0 °F ,86%,   30.06 in ,   10.0 mi ,ESE,   3.5 mph ,Mostly Cloudy
1/2/2017,6:53 AM,   50.0 °F ,   45.0 °F ,83%,   30.06 in ,   10.0 mi ,Calm,Calm,Scattered Clouds
1/2/2017,7:53 AM,   52.0 °F ,   46.0 °F ,80%,   30.09 in ,   10.0 mi ,Calm,Calm,Overcast
1/2/2017,8:11 AM,   52.0 °F ,   46.0 °F ,80%,   30.10 in ,   10.0 mi ,Calm,Calm,Overcast
1/2/2017,8:25 AM,   52.0 °F ,   46.9 °F ,83%,   30.10 in ,   10.0 mi ,Calm,Calm,Overcast
1/2/2017,8:53 AM,   53.1 °F ,   46.0 °F ,77%,   30.12 in ,   10.0 mi ,ESE,   3.5 mph ,Overcast
1/2/2017,9:53 AM,   55.0 °F ,   46.9 °F ,74%,   30.12 in ,   10.0 mi ,Calm,Calm,Overcast
1/2/2017,10:53 AM,   57.0 °F ,   46.0 °F ,67%,   30.12 in ,   10.0 mi ,Calm,Calm,Overcast
1/2/2017,11:53 AM,   55.9 °F ,   46.0 °F ,69%,   30.10 in ,   10.0 mi ,WSW,   4.6 mph ,Overcast
1/2/2017,12:53 PM,   55.9 °F ,   45.0 °F ,67%,   30.10 in ,   10.0 mi ,WSW,   4.6 mph ,Overcast
1/2/2017,1:53 PM,   57.0 °F ,   45.0 °F ,64%,   30.08 in ,   10.0 mi ,Calm,Calm,Overcast
1/2/2017,2:53 PM,   57.0 °F ,   45.0 °F ,64%,   30.08 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
1/2/2017,3:53 PM,   55.9 °F ,   45.0 °F ,67%,   30.08 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
1/2/2017,4:53 PM,   57.0 °F ,   46.0 °F ,67%,   30.10 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
1/2/2017,5:53 PM,   55.0 °F ,   46.9 °F ,74%,   30.12 in ,   10.0 mi ,WNW,   4.6 mph ,Mostly Cloudy
1/2/2017,6:53 PM,   55.0 °F ,   46.9 °F ,74%,   30.13 in ,   10.0 mi ,Calm,Calm,Overcast
1/2/2017,7:53 PM,   53.1 °F ,   46.9 °F ,80%,   30.13 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
1/2/2017,8:53 PM,   54.0 °F ,   48.0 °F ,80%,   30.14 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
1/2/2017,9:53 PM,   53.1 °F ,   46.9 °F ,80%,   30.15 in ,   10.0 mi ,Calm,Calm,Overcast
1/2/2017,10:53 PM,   52.0 °F ,   46.9 °F ,83%,   30.16 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
1/2/2017,11:53 PM,   52.0 °F ,   48.0 °F ,86%,   30.18 in ,   10.0 mi ,Calm,Calm,Overcast
1/3/2017,12:31 AM,   51.1 °F ,   46.9 °F ,86%,   30.19 in ,   10.0 mi ,Calm,Calm,Partly Cloudy
1/3/2017,12:53 AM,   50.0 °F ,   46.0 °F ,86%,   30.17 in ,   10.0 mi ,NNE,   3.5 mph ,Clear
1/3/2017,1:38 AM,   48.9 °F ,   46.0 °F ,90%,   30.19 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
1/3/2017,1:50 AM,   48.2 °F ,   46.4 °F ,93%,   30.19 in ,   10.0 mi ,Calm,Calm,Scattered Clouds
1/3/2017,1:53 AM,   48.9 °F ,   46.0 °F ,90%,   30.19 in ,   10.0 mi ,Calm,Calm,Scattered Clouds
1/3/2017,2:53 AM,   48.0 °F ,   45.0 °F ,89%,   30.17 in ,   10.0 mi ,Calm,Calm,Clear
1/3/2017,3:53 AM,   48.0 °F ,   45.0 °F ,89%,   30.17 in ,   10.0 mi ,Calm,Calm,Clear
1/3/2017,4:53 AM,   48.9 °F ,   46.0 °F ,90%,   30.14 in ,   10.0 mi ,Calm,Calm,Clear
1/3/2017,5:53 AM,   48.9 °F ,   46.0 °F ,90%,   30.14 in ,   10.0 mi ,Calm,Calm,Clear
1/3/2017,6:53 AM,   50.0 °F ,   46.0 °F ,86%,   30.13 in ,   10.0 mi ,Calm,Calm,Clear
1/3/2017,7:53 AM,   52.0 °F ,   46.9 °F ,83%,   30.15 in ,   10.0 mi ,Calm,Calm,Clear
1/3/2017,8:53 AM,   54.0 °F ,   46.0 °F ,75%,   30.17 in ,   10.0 mi ,Calm,Calm,Clear
1/3/2017,9:53 AM,   57.0 °F ,   46.0 °F ,67%,   30.18 in ,   10.0 mi ,Calm,Calm,Clear
1/3/2017,10:53 AM,   57.9 °F ,   44.1 °F ,60%,   30.17 in ,   10.0 mi ,Calm,Calm,Clear
1/3/2017,11:53 AM,   57.9 °F ,   45.0 °F ,62%,   30.14 in ,   10.0 mi ,North,   4.6 mph ,Clear
1/3/2017,12:53 PM,   59.0 °F ,   44.1 °F ,58%,   30.12 in ,   10.0 mi ,NNW,   5.8 mph ,Clear
1/3/2017,1:53 PM,   59.0 °F ,   42.1 °F ,53%,   30.12 in ,   10.0 mi ,North,   6.9 mph ,Clear
1/3/2017,2:53 PM,   60.1 °F ,   43.0 °F ,53%,   30.11 in ,   10.0 mi ,NNW,   5.8 mph ,Clear
1/3/2017,3:53 PM,   59.0 °F ,   45.0 °F ,60%,   30.12 in ,   10.0 mi ,WNW,   4.6 mph ,Clear
1/3/2017,4:53 PM,   57.0 °F ,   44.1 °F ,62%,   30.10 in ,   10.0 mi ,NNW,   6.9 mph ,Clear
1/3/2017,5:53 PM,   55.9 °F ,   45.0 °F ,67%,   30.11 in ,   10.0 mi ,NW,   6.9 mph ,Clear
1/3/2017,6:53 PM,   55.0 °F ,   46.9 °F ,74%,   30.14 in ,   10.0 mi ,NNW,   5.8 mph ,Clear
1/3/2017,7:53 PM,   54.0 °F ,   46.9 °F ,77%,   30.14 in ,   10.0 mi ,North,   4.6 mph ,Clear
1/3/2017,8:53 PM,   54.0 °F ,   46.9 °F ,77%,   30.16 in ,   10.0 mi ,NNW,   5.8 mph ,Clear
1/3/2017,9:53 PM,   53.1 °F ,   46.9 °F ,80%,   30.17 in ,   10.0 mi ,North,   4.6 mph ,Clear
1/3/2017,10:53 PM,   51.1 °F ,   46.0 °F ,83%,   30.17 in ,   10.0 mi ,NNE,   3.5 mph ,Clear
1/3/2017,11:53 PM,   51.1 °F ,   45.0 °F ,80%,   30.15 in ,   10.0 mi ,NNE,   3.5 mph ,Clear
1/4/2017,12:53 AM,   48.9 °F ,   44.1 °F ,83%,   30.14 in ,   10.0 mi ,Calm,Calm,Clear
1/4/2017,1:53 AM,   48.9 °F ,   44.1 °F ,83%,   30.14 in ,   10.0 mi ,NE,   4.6 mph ,Clear
1/4/2017,2:53 AM,   46.9 °F ,   43.0 °F ,86%,   30.14 in ,   10.0 mi ,Calm,Calm,Clear
1/4/2017,3:53 AM,   46.0 °F ,   42.1 °F ,86%,   30.12 in ,   10.0 mi ,Calm,Calm,Clear
1/4/2017,4:53 AM,   45.0 °F ,   42.1 °F ,90%,   30.12 in ,   10.0 mi ,Calm,Calm,Clear
1/4/2017,5:53 AM,   46.0 °F ,   43.0 °F ,89%,   30.15 in ,   10.0 mi ,Calm,Calm,Clear
1/4/2017,6:53 AM,   46.9 °F ,   43.0 °F ,86%,   30.14 in ,   10.0 mi ,Calm,Calm,Clear
1/4/2017,7:53 AM,   48.0 °F ,   44.1 °F ,86%,   30.16 in ,   10.0 mi ,Calm,Calm,Clear
1/4/2017,8:53 AM,   53.1 °F ,   45.0 °F ,74%,   30.16 in ,   10.0 mi ,East,   3.5 mph ,Clear
1/4/2017,9:53 AM,   57.0 °F ,   45.0 °F ,64%,   30.17 in ,   10.0 mi ,Calm,Calm,Clear
1/4/2017,10:53 AM,   61.0 °F ,   44.1 °F ,54%,   30.16 in ,   10.0 mi ,NW,   3.5 mph ,Clear
1/4/2017,11:53 AM,   63.0 °F ,   45.0 °F ,52%,   30.13 in ,   10.0 mi ,WNW,   6.9 mph ,Clear
1/4/2017,12:53 PM,   62.1 °F ,   45.0 °F ,53%,   30.11 in ,   10.0 mi ,NW,   8.1 mph ,Clear
1/4/2017,1:53 PM,   62.1 °F ,   45.0 °F ,53%,   30.08 in ,   10.0 mi ,NW,   10.4 mph ,Clear
1/4/2017,2:53 PM,   62.1 °F ,   45.0 °F ,53%,   30.07 in ,   10.0 mi ,NW,   9.2 mph ,Clear
1/4/2017,3:53 PM,   62.1 °F ,   45.0 °F ,53%,   30.06 in ,   10.0 mi ,NW,   9.2 mph ,Clear
1/4/2017,4:53 PM,   57.9 °F ,   46.0 °F ,65%,   30.07 in ,   10.0 mi ,WNW,   8.1 mph ,Clear
1/4/2017,5:53 PM,   57.0 °F ,   46.9 °F ,69%,   30.08 in ,   10.0 mi ,NW,   8.1 mph ,Clear
1/4/2017,6:53 PM,   55.9 °F ,   48.0 °F ,75%,   30.09 in ,   10.0 mi ,NNW,   4.6 mph ,Partly Cloudy
1/4/2017,7:53 PM,   55.0 °F ,   48.0 °F ,77%,   30.08 in ,   10.0 mi ,NNW,   3.5 mph ,Clear
1/4/2017,8:53 PM,   54.0 °F ,   46.9 °F ,77%,   30.08 in ,   10.0 mi ,NNE,   3.5 mph ,Scattered Clouds
1/4/2017,9:53 PM,   54.0 °F ,   46.9 °F ,77%,   30.08 in ,   10.0 mi ,North,   3.5 mph ,Overcast
1/4/2017,10:53 PM,   55.0 °F ,   48.0 °F ,77%,   30.08 in ,   10.0 mi ,Calm,Calm,Overcast
1/4/2017,11:53 PM,   55.0 °F ,   48.9 °F ,80%,   30.08 in ,   10.0 mi ,Calm,Calm,Overcast
1/5/2017,12:53 AM,   54.0 °F ,   48.9 °F ,83%,   30.08 in ,   10.0 mi ,SSE,   3.5 mph ,Overcast
1/5/2017,1:53 AM,   54.0 °F ,   48.0 °F ,80%,   30.07 in ,   10.0 mi ,ENE,   3.5 mph ,Overcast
1/5/2017,2:53 AM,   55.0 °F ,   48.0 °F ,77%,   30.05 in ,   10.0 mi ,Calm,Calm,Overcast
1/5/2017,3:51 AM,   53.6 °F ,   48.2 °F ,82%,   30.03 in ,   10.0 mi ,East,   3.5 mph ,Overcast
1/5/2017,3:53 AM,   53.1 °F ,   48.0 °F ,83%,   30.03 in ,   10.0 mi ,East,   3.5 mph ,Mostly Cloudy
1/5/2017,4:09 AM,   52.0 °F ,   46.9 °F ,83%,   30.03 in ,   10.0 mi ,East,   3.5 mph ,Mostly Cloudy
1/5/2017,4:22 AM,   53.1 °F ,   48.0 °F ,83%,   30.03 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
1/5/2017,4:53 AM,   54.0 °F ,   48.0 °F ,80%,   30.02 in ,   10.0 mi ,Calm,Calm,Overcast
1/5/2017,5:53 AM,   54.0 °F ,   48.0 °F ,80%,   30.01 in ,   10.0 mi ,East,   3.5 mph ,Overcast
1/5/2017,6:53 AM,   54.0 °F ,   48.0 °F ,80%,   30.03 in ,   8.0 mi ,ESE,   3.5 mph ,Overcast
1/5/2017,7:53 AM,   55.0 °F ,   48.0 °F ,77%,   30.04 in ,   10.0 mi ,SE,   4.6 mph ,Overcast
1/5/2017,8:20 AM,   55.0 °F ,   48.0 °F ,77%,   30.04 in ,   9.0 mi ,ESE,   5.8 mph ,Overcast
